Al Density=2.699, Angle=90.deg
Photon Energy (eV), Atten Length (microns)
15814.2, 582.277
15914.1, 593.280
16014.0, 604.415
16113.9, 615.691
16213.8, 627.103
16313.7, 638.650
16413.6, 650.347
16513.5, 662.177
16613.4, 674.150
16713.3, 686.265
16813.2, 698.519
16913.1, 710.922
17013.0, 723.467
17112.9, 736.153
17212.8, 748.992
17312.7, 761.971
17412.6, 775.096
17512.5, 788.369
17612.4, 801.785
17712.3, 815.353
17812.2, 829.076
17912.1, 842.944
18012.0, 856.965
18111.9, 871.135
18211.8, 885.453
18311.7, 899.929
18411.6, 914.557
18511.5, 929.333
18611.4, 944.273
18711.3, 959.366
18811.2, 974.610
18911.1, 990.015
19011.0, 1005.57
19110.9, 1021.28
19210.8, 1037.16
19310.7, 1053.20
19410.6, 1069.38
19510.5, 1085.73
19610.4, 1102.24
19710.3, 1118.91
19810.2, 1135.78
19910.1, 1152.87
20010.0, 1170.13
20109.9, 1187.55
20209.8, 1205.06
20309.7, 1222.72
20409.6, 1240.54
20509.5, 1258.53
20609.4, 1276.68
20709.3, 1294.98
20809.2, 1313.45
20909.1, 1332.07
21009.0, 1350.86
21108.9, 1369.80
21208.8, 1388.91
21308.7, 1408.18
21408.6, 1427.61
21508.5, 1447.20
21608.4, 1466.96
21708.3, 1486.87
21808.2, 1506.95
21908.1, 1527.19
22008.0, 1547.59
22107.9, 1568.16
22207.8, 1588.89
22307.7, 1609.78
22407.6, 1630.83
22507.5, 1652.05
22607.4, 1673.43
22707.3, 1694.97
22807.2, 1716.67
22907.1, 1738.54
23007.0, 1760.57
23106.9, 1782.77
23206.8, 1805.12
23306.7, 1827.64
23406.6, 1850.32
23506.5, 1873.16
23606.4, 1896.16
23706.3, 1919.33
23806.2, 1942.67
23906.1, 1966.16
24006.0, 1989.81
24105.9, 2013.63
24205.8, 2037.61
24305.7, 2061.74
24405.6, 2086.05
24505.5, 2110.51
24605.4, 2135.13
24705.3, 2159.91
24805.2, 2184.85
24905.1, 2209.96
25005.0, 2235.22
25104.9, 2260.63
25204.8, 2286.21
25304.7, 2311.96
25404.6, 2337.86
25504.5, 2363.92
25604.4, 2390.13
25704.3, 2416.51
25804.2, 2443.05
25904.1, 2469.73
26004.0, 2496.58
26103.9, 2523.58
26203.8, 2550.74
26303.7, 2578.05
26403.6, 2605.52
26503.5, 2633.14
26603.4, 2660.92
26703.3, 2688.84
26803.2, 2716.91
26903.1, 2745.15
27003.0, 2773.54
27102.9, 2802.07
27202.8, 2830.75
27302.7, 2859.59
27402.6, 2888.58
27502.5, 2917.71
27602.4, 2946.99
27702.3, 2976.42
27802.2, 3006.00
27902.1, 3035.73
28002.0, 3065.60
28101.9, 3095.61
28201.8, 3125.77
28301.7, 3156.08
28401.6, 3186.52
28501.5, 3217.11
28601.4, 3247.83
28701.3, 3278.71
28801.2, 3309.73
28901.1, 3340.88
29001.0, 3372.17
29100.9, 3403.60
29200.8, 3435.16
29300.7, 3466.87
29400.6, 3498.70
29500.5, 3530.66
29600.4, 3562.76
29700.3, 3595.01
29800.2, 3627.38
29900.1, 3659.88
30000.0, 3692.49
