5162, 0.001429
5561, 0.003067
5716, 0.01212
5748, 0.05350
5761, 0.1091
5770, 0.1471
5774, 0.2052
5778, 0.2800
5784, 0.3600
5787, 0.4181
5791, 0.4493
5796, 0.5066
5802, 0.5404
5813, 0.5739
5825, 0.5250
5831, 0.4967
5861, 0.5565
5869, 0.5969
5887, 0.6305
5909, 0.6331
5924, 0.6535
5989, 0.6794
6046, 0.6948
6110, 0.6868
6161, 0.6949
6218, 0.6910
6339, 0.7050
6459, 0.7168
6547, 0.7246
6769, 0.7429
6865, 0.7452
6951, 0.7620
7034, 0.7705
7105, 0.7826
7188, 0.7834
7289, 0.7762
7416, 0.7710
7627, 0.7710
7719, 0.7545
7846, 0.7608
8059, 0.7794
8276, 0.7615
8492, 0.7610
8707, 0.7627
8925, 0.7583
9021, 0.7394
9076, 0.7238
9159, 0.7009
9245, 0.6855
9337, 0.6693
9429, 0.6418
9493, 0.6135
9550, 0.5827
9607, 0.5476
9676, 0.4938
9743, 0.4438
9822, 0.3938
9898, 0.3480
1.000e+4, 0.2967
1.009e+4, 0.2453
1.017e+4, 0.1974
1.027e+4, 0.1465
1.043e+4, 0.09360
1.056e+4, 0.05015
1.061e+4, 0.001916
1.099e+4, 0.002095
1.150e+4, 0.002670
